accel x(m/s^2),accel y(m/s^2),accel z(m/s^2),press (hPa),tempe (C)),altit (m),gyro x(m/s^2),gyro y(m/s^2),gyro z(m/s^2),
1022.9,0,0,1022.9,23,-80.03,0,0,2,0
1022.92,0,0,1022.92,23,-80.2,0,0,2,2
1022.87,0,0,1022.87,23,-79.79,0,0,2,3
1022.89,0,0,1022.89,23,-79.96,0,0,1,5
1022.88,0,0,1022.88,23,-79.87,0,0,2,7
1022.91,0,0,1022.91,23,-80.12,0,0,2,8
1022.9,0,0,1022.9,23,-80.03,0,0,1,10
1022.91,0,0,1022.91,23,-80.12,0,0,2,12
1022.85,0,0,1022.85,23,-79.62,0,0,2,14
1022.87,0,0,1022.87,23,-79.79,0,0,2,15
1022.85,0,0,1022.85,23,-79.62,0,0,1,17
1022.84,0,0,1022.84,23,-79.54,0,0,1,19
1022.85,0,0,1022.85,23,-79.62,0,0,1,20
1022.8,0,0,1022.8,23,-79.21,0,0,1,22
1022.86,0,0,1022.86,23,-79.71,0,0,2,24
1022.82,0,0,1022.82,23,-79.37,0,0,1,25
1022.78,0,0,1022.78,23,-79.05,0,0,2,27
1022.82,0,0,1022.82,22.9,-79.37,0,0,2,29
1022.76,0,0,1022.76,23,-78.88,0,0,1,30
1022.81,0,0,1022.81,22.9,-79.29,0,0,1,32
1022.8,0,0,1022.8,23,-79.21,0,0,1,34
1022.76,0,0,1022.76,22.9,-78.88,0,0,2,35
1022.79,0,0,1022.79,22.9,-79.13,0,0,1,37
1022.81,0,0,1022.81,23,-79.29,0,0,1,39
1022.84,0,0,1022.84,22.9,-79.54,0,0,1,40
1022.82,0,0,1022.82,23,-79.37,0,0,1,42
1022.69,0,0,1022.69,22.9,-78.3,0,0,1,44
1022.77,0,0,1022.77,22.9,-78.96,0,0,1,45
1022.7,0,0,1022.7,22.9,-78.39,0,0,1,47
1022.73,0,0,1022.73,22.9,-78.63,0,0,1,49
1022.76,0,0,1022.76,22.9,-78.88,0,0,1,50
1022.66,0,0,1022.66,22.9,-78.05,0,0,2,52
1022.65,0,0,1022.65,22.9,-77.97,0,0,1,54
1022.69,0,0,1022.69,22.9,-78.3,0,0,1,55
1022.64,0,0,1022.64,22.9,-77.89,0,0,2,57
1022.76,0,0,1022.76,22.9,-78.88,0,0,1,59
1022.66,0,0,1022.66,22.9,-78.05,0,0,2,60
1022.68,0,0,1022.68,22.9,-78.22,0,0,1,62
1022.64,0,0,1022.64,22.9,-77.89,0,0,1,64
1022.65,0,0,1022.65,22.9,-77.97,0,0,1,65
1022.64,0,0,1022.64,22.9,-77.89,0,0,1,67
1022.64,0,0,1022.64,22.9,-77.89,0,0,1,69
1022.6,0,0,1022.6,22.9,-77.56,0,0,1,70
1022.59,0,0,1022.59,22.9,-77.48,0,0,1,72
1022.63,0,0,1022.63,22.9,-77.8,0,0,1,74
1022.62,0,0,1022.62,22.9,-77.72,0,0,1,75
1022.63,0,0,1022.63,22.9,-77.8,0,0,2,77
1022.6,0,0,1022.6,22.9,-77.56,0,0,1,79
1022.65,0,0,1022.65,22.9,-77.97,0,0,1,80
1022.66,0,0,1022.66,22.9,-78.05,0,0,1,82
1022.6,0,0,1022.6,22.9,-77.56,0,0,1,84
1022.6,0,0,1022.6,22.9,-77.56,0,0,2,85
1022.56,0,0,1022.56,22.9,-77.23,0,0,2,87
1022.6,0,0,1022.6,22.9,-77.56,0,0,1,89
1022.59,0,0,1022.59,22.9,-77.48,0,0,1,90
1022.57,0,0,1022.57,22.9,-77.31,0,0,1,92
1022.55,0,0,1022.55,22.9,-77.14,0,0,2,94
1022.53,0,0,1022.53,22.9,-76.98,0,0,1,95
1022.47,0,0,1022.47,22.9,-76.48,0,0,1,97
1022.48,0,0,1022.48,22.9,-76.56,0,0,1,99
1022.51,0,0,1022.51,22.9,-76.82,0,0,1,100
1022.49,0,0,1022.49,22.9,-76.65,0,0,1,102
1022.49,0,0,1022.49,22.9,-76.65,0,0,2,104
1022.54,0,0,1022.54,22.9,-77.06,0,0,1,105
1022.45,0,0,1022.45,22.9,-76.32,0,0,1,107
1022.43,0,0,1022.43,22.9,-76.15,0,0,1,109
1022.42,0,0,1022.42,22.9,-76.07,0,0,1,110
1022.39,0,0,1022.39,22.9,-75.82,0,0,2,112
1022.36,0,0,1022.36,22.9,-75.57,0,0,2,114
1022.36,0,0,1022.36,22.8,-75.57,0,0,1,115
1022.35,0,0,1022.35,22.9,-75.49,0,0,1,117
1022.39,0,0,1022.39,22.9,-75.82,0,0,1,119
1022.36,0,0,1022.36,22.9,-75.57,0,0,2,120
1022.33,0,0,1022.33,22.8,-75.33,0,0,1,122
1022.33,0,0,1022.33,22.8,-75.33,0,0,2,124
1022.36,0,0,1022.36,22.9,-75.57,0,0,2,125
1022.34,0,0,1022.34,22.8,-75.41,0,0,1,127
1022.34,0,0,1022.34,22.8,-75.41,0,1,1,129
1022.3,0,0,1022.3,22.8,-75.08,0,0,2,130
1022.33,0,0,1022.33,22.8,-75.33,0,0,2,132
1022.31,0,0,1022.31,22.8,-75.16,0,0,2,134
1022.25,0,0,1022.25,22.8,-74.67,0,0,2,135
1022.26,0,0,1022.26,22.8,-74.74,0,0,1,137
1022.26,0,0,1022.26,22.8,-74.74,0,1,2,139
1022.23,0,0,1022.23,22.8,-74.5,0,0,1,140
1022.29,0,0,1022.29,22.8,-74.99,0,0,1,142
1022.22,0,0,1022.22,22.8,-74.42,0,0,1,144
1022.3,0,0,1022.3,22.8,-75.08,0,0,1,145
1022.35,0,0,1022.35,22.8,-75.49,0,0,1,147
1022.3,0,0,1022.3,22.8,-75.08,0,0,1,149
1022.34,0,0,1022.34,22.8,-75.41,0,0,2,150
1022.36,0,0,1022.36,22.9,-75.57,0,0,1,152
1022.33,0,0,1022.33,22.8,-75.33,0,0,1,154
1022.35,0,0,1022.35,22.8,-75.49,0,0,1,155
1022.32,0,0,1022.32,22.9,-75.24,0,0,2,157
1022.37,0,0,1022.37,22.9,-75.65,26,30,5,159
1022.41,0,0,1022.41,22.9,-75.99,-5,24,12,160
1022.36,0,0,1022.36,22.9,-75.57,-1,21,2,162
1022.33,0,0,1022.33,22.8,-75.33,-6,22,4,164
1022.38,0,0,1022.38,22.9,-75.74,18,-103,-3,165
1022.35,0,0,1022.35,22.9,-75.49,10,-52,-1,167
1022.33,0,0,1022.33,22.9,-75.33,4,-20,-8,169
1022.41,0,0,1022.41,22.9,-75.99,0,0,1,170
1022.36,0,0,1022.36,22.9,-75.57,6,285,16,172
1022.33,0,0,1022.33,22.9,-75.33,-1,-44,1,174
1022.44,0,0,1022.44,22.9,-76.23,48,53,-16,175
1022.25,0,0,1022.25,22.9,-74.67,0,0,1,177
