accel x(m/s^2),accel y(m/s^2),accel z(m/s^2),press (hPa),tempe (C)),altit (m),gyro x(m/s^2),gyro y(m/s^2),gyro z(m/s^2),
-0.24,0.24,9.81,1006.11,22.5,59.62,-4,10,10,0
-0.94,1.92,9.65,1006.15,22.5,59.28,-12,14,-6,2
-3.96,3.61,8.12,1006.13,22.5,59.45,4,-28,2,3
-1.33,-1.92,9.34,1006.13,22.5,59.45,-16,64,9,5
1.73,2.67,8.9,1006.15,22.6,59.28,13,-3,4,7
-0.47,-4.9,8.39,1006.15,22.5,59.28,4,0,-1,8
0.43,-6.71,6.94,1006.13,22.5,59.45,27,30,-1,10
3.8,-0.04,8.79,1006.15,22.5,59.28,8,2,2,12
5.37,0.39,7.81,1006.14,22.5,59.37,1,0,2,13
6.28,0.2,7.61,1006.11,22.5,59.62,0,2,1,15
6.86,-0.04,6.86,1006.14,22.5,59.37,1,2,2,17
7.41,-0.2,6.24,1006.11,22.5,59.62,-35,-16,10,18
0.27,-1.02,9.65,1006.14,22.5,59.37,1,0,3,20
-0.08,-0.82,9.49,1006.1,22.5,59.7,0,5,1,22
-0.12,-0.55,9.41,1006.15,22.5,59.28,0,5,1,23
-0.04,0.67,9.49,1006.12,22.5,59.53,0,0,2,25
-0.08,0.67,9.61,1006.11,22.5,59.62,0,1,2,27
0.04,1.14,9.65,1006.25,22.5,58.44,-26,6,-4,28
-3.3,0.78,9.22,1006.09,22.5,59.78,-1,1,1,30
-4.59,0.71,8.51,1006.09,22.5,59.78,-1,0,2,32
-4.98,0.78,8.24,1006.08,22.5,59.87,0,0,2,33
-4.98,0.67,8.32,1006.11,22.5,59.62,53,-17,19,35
-0.08,1.45,7.22,1006.19,22.5,58.95,0,0,2,37
0.35,0.63,9.73,1006.11,22.5,59.62,0,0,2,38
0.24,0.67,9.77,1006.14,22.5,59.37,0,0,2,40
0.31,0.55,9.57,1006.2,22.5,58.86,0,0,2,42
0.27,0.59,9.57,1006.14,22.5,59.37,0,0,2,43
0.12,0.55,9.57,1006.07,22.5,59.95,0,0,2,45
0.35,0.63,9.65,1006.11,22.5,59.62,0,0,2,47
0.35,0.63,9.49,1006.12,22.5,59.53,0,1,2,48
0.27,0.59,9.49,1006.1,22.5,59.7,0,0,2,50
0.31,0.63,9.61,1006.16,22.5,59.2,0,0,2,52
0.39,0.47,9.61,1006.12,22.5,59.53,0,0,2,53
0.39,0.43,9.61,1006.12,22.5,59.53,0,0,2,55
